lat,lon,value
5.0,48.25,-0.10495417
5.0,48.333343505859375,-0.12689346
5.0,48.41667175292969,-0.16744302
5.0,48.5,-0.1859345
5.0,48.583343505859375,-0.19309413
5.0,48.66667175292969,-0.18382995
5.0,48.75,-0.18459576
5.0,48.833343505859375,-0.19242492
5.0,48.91667175292969,-0.19623627
5.0,49.0,-0.24383454
5.0,49.083343505859375,-0.31380245
5.0,49.16667175292969,-0.34325865
5.0,49.25,-0.32358667
5.0,49.333343505859375,-0.2672951
5.0,49.41667175292969,-0.1911058
5.0,49.5,-0.098440215
5.0,49.583343505859375,-0.012381508
5.0,49.66667175292969,0.044183172
5.0,49.75,0.08400074
5.0,49.833343505859375,0.10052673
5.0,49.91667175292969,0.084897675
5.0,50.0,0.042129308
5.0,50.083343505859375,-0.0067615514
5.0,50.16667175292969,-0.042345013
5.0,50.25,-0.062045697
5.0,50.333343505859375,-0.0708867
5.0,50.41667175292969,-0.08449776
5.0,50.5,-0.10538181
5.0,50.583343505859375,-0.12728605
5.0,50.66667175292969,-0.15731017
5.0,50.75,-0.19004512
5.0,50.833343505859375,-0.21864885
5.0,50.91667175292969,-0.25289392
5.0,51.0,-0.28759888
5.0,51.083343505859375,-0.3314647
5.0,51.16667175292969,-0.4111025
5.0,51.25,-0.49763203
5.0,51.333343505859375,-0.5591995
5.0,51.41667175292969,-0.5945029
5.0,51.5,-0.610717
5.0,51.583343505859375,-0.6236054
5.0,51.66667175292969,-0.6353595
5.0,51.75,-0.6472958
5.0,51.833343505859375,-0.65832365
5.0,51.91667175292969,-0.654025
5.0,52.0,-0.62796485
5.0,52.083343505859375,-0.5903407
5.0,52.16667175292969,-0.56536144
5.0,52.25,-0.56961656
5.0,52.333343505859375,-0.5914851
5.0,52.41667175292969,-0.61463875
5.0,52.5,-0.6285232
5.0,52.583343505859375,-0.63460165
5.0,52.66667175292969,-0.6395198
5.0,52.75,-0.6383168
5.0,52.833343505859375,-0.6390556
5.0,52.91667175292969,-0.6556331
5.0,53.0,-0.68071157
5.0,53.083343505859375,-0.7012355
5.0,53.16667175292969,-0.710845
5.0,53.25,-0.71259475
5.0,53.333343505859375,-0.71355253
5.0,53.41667175292969,-0.7080239
5.0,53.5,-0.69451416
5.0,53.583343505859375,-0.67442244
5.0,53.66667175292969,-0.65211284
5.0,53.75,-0.6309472
5.0,53.833343505859375,-0.6069576
5.0,53.91667175292969,-0.58599573
5.0,54.0,-0.57513875
5.0,54.083343505859375,-0.57642007
5.0,54.16667175292969,-0.5852013
5.0,54.25,-0.5887688
5.0,54.333343505859375,-0.5790217
5.0,54.41667175292969,-0.5664697
5.0,54.5,-0.5622467
5.0,54.583343505859375,-0.5597056
5.0,54.66667175292969,-0.55752283
5.0,54.75,-0.5590401
5.0,54.833343505859375,-0.5562363
5.0,54.91667175292969,-0.5464308
5.0,55.0,-0.535542
5.0,55.083343505859375,-0.52689475
5.0,55.16667175292969,-0.5186519
5.0,55.25,-0.5134388
5.0,55.333343505859375,-0.50524217
5.0,55.41667175292969,-0.49001405
5.0,55.5,-0.47551224
5.0,55.583343505859375,-0.46907467
5.0,55.66667175292969,-0.47368342
5.0,55.75,-0.4836381
5.0,55.833343505859375,-0.4909007
5.0,55.91667175292969,-0.4882979
5.0,56.0,-0.47704393
5.0,56.083343505859375,-0.46631
5.0,56.16667175292969,-0.46420982
5.0,56.25,-0.46987283
5.0,56.333343505859375,-0.47763094
5.0,56.41667175292969,-0.48146182
5.0,56.5,-0.4782512
5.0,56.583343505859375,-0.46869224
5.0,56.66667175292969,-0.45472202
5.0,56.75,-0.44088945
5.0,56.833343505859375,-0.43225077
5.0,56.91667175292969,-0.4305062
5.0,57.0,-0.4358673
5.0,57.083343505859375,-0.44486314
5.0,57.16667175292969,-0.44761178
5.0,57.25,-0.43665168
5.0,57.333343505859375,-0.41586563
5.0,57.41667175292969,-0.39384994
5.0,57.5,-0.3733846
5.0,57.583343505859375,-0.35291058
5.0,57.66667175292969,-0.3347533
5.0,57.75,-0.32575256
5.0,57.833343505859375,-0.32600653
5.0,57.91667175292969,-0.3301244
5.0,58.0,-0.3337368
5.0,58.083343505859375,-0.32861266
5.0,58.16667175292969,-0.31515688
5.0,58.25,-0.30209368
5.0,58.333343505859375,-0.29175425
5.0,58.41667175292969,-0.28419617
5.0,58.5,-0.27893108
5.0,58.583343505859375,-0.27140385
5.0,58.66667175292969,-0.25957277
