lat,lon,value
5.0,48.25,-0.20258538
5.0,48.333343505859375,-0.21700357
5.0,48.41667175292969,-0.30520764
5.0,48.5,-0.39298344
5.0,48.583343505859375,-0.49767274
5.0,48.66667175292969,-0.3596447
5.0,48.75,-0.1909567
5.0,48.833343505859375,-0.13804562
5.0,48.91667175292969,-0.14741555
5.0,49.0,-0.21175961
5.0,49.083343505859375,-0.32609898
5.0,49.16667175292969,-0.4103177
5.0,49.25,-0.4713035
5.0,49.333343505859375,-0.5349725
5.0,49.41667175292969,-0.58850133
5.0,49.5,-0.5531136
5.0,49.583343505859375,-0.4740037
5.0,49.66667175292969,-0.3602264
5.0,49.75,-0.2540837
5.0,49.833343505859375,-0.17461652
5.0,49.91667175292969,-0.105276555
5.0,50.0,-0.046504546
5.0,50.083343505859375,0.005362312
5.0,50.16667175292969,0.043415677
5.0,50.25,0.07678023
5.0,50.333343505859375,0.11784206
5.0,50.41667175292969,0.16425207
5.0,50.5,0.20447844
5.0,50.583343505859375,0.20615233
5.0,50.66667175292969,0.23251316
5.0,50.75,0.21830027
5.0,50.833343505859375,0.18922266
5.0,50.91667175292969,0.1391578
5.0,51.0,0.09642166
5.0,51.083343505859375,0.063633196
5.0,51.16667175292969,-0.0018364263
5.0,51.25,-0.051679224
5.0,51.333343505859375,-0.07219717
5.0,51.41667175292969,-0.06397626
5.0,51.5,-0.041390914
5.0,51.583343505859375,-0.014526764
5.0,51.66667175292969,0.009287598
5.0,51.75,0.018633517
5.0,51.833343505859375,0.009487099
5.0,51.91667175292969,-0.0044808253
5.0,52.0,-0.005428264
5.0,52.083343505859375,0.012285439
5.0,52.16667175292969,0.01646054
5.0,52.25,0.00781383
5.0,52.333343505859375,0.024027681
5.0,52.41667175292969,0.028853644
5.0,52.5,0.035256654
5.0,52.583343505859375,0.05845434
5.0,52.66667175292969,0.08197436
5.0,52.75,0.108636096
5.0,52.833343505859375,0.13523246
5.0,52.91667175292969,0.1587337
5.0,53.0,0.16764979
5.0,53.083343505859375,0.19098485
5.0,53.16667175292969,0.21493211
5.0,53.25,0.23892255
5.0,53.333343505859375,0.2576892
5.0,53.41667175292969,0.27877718
5.0,53.5,0.29243407
5.0,53.583343505859375,0.3000947
5.0,53.66667175292969,0.3065284
5.0,53.75,0.3078626
5.0,53.833343505859375,0.31175753
5.0,53.91667175292969,0.320507
5.0,54.0,0.3333922
5.0,54.083343505859375,0.3478028
5.0,54.16667175292969,0.36305645
5.0,54.25,0.3757433
5.0,54.333343505859375,0.38207158
5.0,54.41667175292969,0.38395873
5.0,54.5,0.3720498
5.0,54.583343505859375,0.35559446
5.0,54.66667175292969,0.339364
5.0,54.75,0.3241126
5.0,54.833343505859375,0.30502355
5.0,54.91667175292969,0.27800655
5.0,55.0,0.2552127
5.0,55.083343505859375,0.2413253
5.0,55.16667175292969,0.22342259
5.0,55.25,0.1987826
5.0,55.333343505859375,0.1887802
5.0,55.41667175292969,0.19109784
5.0,55.5,0.20313527
5.0,55.583343505859375,0.21678989
5.0,55.66667175292969,0.22937354
5.0,55.75,0.23882331
5.0,55.833343505859375,0.24438396
5.0,55.91667175292969,0.24108934
5.0,56.0,0.22463624
5.0,56.083343505859375,0.20362091
5.0,56.16667175292969,0.18834502
5.0,56.25,0.17709723
5.0,56.333343505859375,0.16618231
5.0,56.41667175292969,0.15666403
5.0,56.5,0.14287844
5.0,56.583343505859375,0.12708525
5.0,56.66667175292969,0.11330781
