latitude,47.75,48.0,48.25,48.5,48.75,49.0,49.25,49.5,49.75,50.0,50.25,50.5,50.75,51.0,51.25,51.5,51.75,52.0,52.25,52.5,52.75,53.0,53.25,53.5,53.75,54.0,54.25,54.5,54.75,55.0,55.25,55.5,55.75,56.0,56.25,56.5,56.75,57.0,57.25,57.5,57.75,58.0,58.25,58.5,58.75,59.0,59.25,59.5,59.75,60.0,60.25,60.5,60.75,61.0,61.25,61.5,61.75,62.0,62.25,62.5,62.75,63.0,63.25,63.5,63.75,64.0,64.25,64.5,64.75,65.0,65.25,65.5,65.75,66.0,66.25,66.5,66.75,67.0,67.25,67.5,67.75,68.0,68.25,68.5,68.75,69.0,69.25,69.5,69.75,70.0,70.25,70.5,70.75,71.0,71.25,71.5,71.75,72.0,72.25,72.5,72.75,73.0,73.25,73.5,73.75,74.0,74.25,74.5,74.75,75.0,75.25,75.5,75.75,76.0,76.25,76.5,76.75,77.0,77.25,77.5,77.75,78.0,78.25,78.5,78.75,79.0,79.25,79.5,79.75,80.0,80.25,80.5,80.75,81.0,81.25,81.5,81.75,82.0,82.25,82.5,82.75,83.0,83.25,83.5,83.75,84.0,84.25,84.5,84.75,85.0,85.25,85.5,85.75,86.0,86.25,86.5,86.75,87.0,87.25,87.5,87.75,88.0,88.25,88.5,88.75,89.0,89.25,89.5,89.75,90.0,90.25,90.5,90.75
25.0,0.2096405,0.06315613,-0.3372345,-0.96614075,-1.2796173,-1.7083282,-2.0735626,-2.1272736,-2.266922,-2.414383,-2.5139923,-3.048172,-3.3499298,-2.978836,-2.7639923,-3.3391876,-4.0042267,-4.4710236,-4.9671173,-5.050125,-5.199539,-5.320633,-5.3264923,-5.320633,-5.124344,-4.8616486,-4.5696564,-3.9046173,-3.3421173,-2.0677032,-0.45539856,0.6578827,0.4235077,0.116867065,0.15983582,0.5670624,0.49772644,0.8844452,0.9410858,1.1881561,1.271164,1.7311249,1.7897186,1.6696014,1.2408905,0.7584686,0.23698425,-0.13703918,-0.46809387,-0.82063293,-1.3157501,-1.7659454,-1.9339142,-2.2522736,-2.0178986,-1.9563751,-2.0345001,-2.2366486,-2.1468048,-2.3479767,-2.0227814,-1.7415314,-1.4905548,-1.2034454,-1.1487579,-1.244461,-1.2893829,-1.5061798,-1.7415314,-1.7561798,-1.7259064,-1.5628204,-1.2298126,-0.7483673,-0.36946106,-0.89094543,-1.4241486,-2.2190704,-3.3313751,-4.09993,-4.4016876,-4.266922,-3.970047,-3.4524689,-3.3235626,-3.3372345,-3.2434845,-3.3899689,-3.5901642,-3.572586,-3.4427032,-3.516922,-3.9290314,-4.4397736,-4.6096954,-4.508133,-3.595047,-2.5716095,-1.9016876,-1.338211,-0.704422,0.14518738,1.0553436,0.670578,-0.39778137,-1.3557892,-1.5501251,-1.8089142,-1.6272736,-1.3684845,-1.369461,-1.6302032,-1.8470001,-1.7386017,-1.5608673,-1.0677032,-0.47981262,-0.17707825,0.15397644,0.33366394,0.43522644,-0.21516418,-0.69563293,-0.63801575,-0.68000793,-0.70051575,-0.55207825,-0.41145325,-0.32063293,-0.3811798,0.10417175,1.0338593,1.1803436,1.1266327,0.9313202,1.0240936,0.84928894,0.7037811,0.5709686,0.6881561,0.8834686,1.0592499,1.3414764,1.2115936,0.87272644,0.6735077,0.64616394,0.779953,0.8922577,1.1119843,1.233078,1.4889374,1.2565155,1.451828,0.9488983,0.29655457,0.13737488,0.081710815,-0.050125122,-0.25422668,-0.94758606,-1.3880157,-1.2278595,-1.1087189,-1.1389923,-1.2854767,-1.2522736,-1.4895782,-1.4661407,-1.4173126,-1.3889923,-1.1067657,-0.766922
24.75,0.5582733,0.31608582,-0.21809387,-0.92414856,-1.5677032,-1.9964142,-2.2991486,-2.351883,-2.3636017,-2.5452423,-2.6448517,-2.7464142,-2.9505157,-3.0442657,-3.2845001,-3.9690704,-4.6302032,-5.0979767,-5.1497345,-5.235672,-5.282547,-5.2942657,-5.300125,-5.199539,-4.9954376,-4.7815704,-4.271805,-3.478836,-2.3792267,-1.1028595,-0.782547,-0.3733673,-0.55696106,-0.04914856,-0.0061798096,-0.113601685,-0.37727356,-0.45344543,-0.15364075,0.20085144,0.9957733,1.4567108,1.864914,1.858078,1.427414,0.8444061,0.3219452,-0.13996887,-0.470047,-0.7376251,-1.1682892,-1.6126251,-2.070633,-2.3899689,-2.7151642,-2.8108673,-2.8616486,-2.8460236,-2.7552032,-2.1751251,-1.7298126,-0.95344543,-0.38215637,-0.08528137,-0.057937622,-0.15364075,-0.47200012,-0.8011017,-1.1536407,-1.3587189,-1.3274689,-1.2151642,-0.86164856,-0.532547,-0.8792267,-1.501297,-2.3391876,-3.135086,-3.5071564,-3.8470001,-3.9524689,-3.8889923,-3.5911407,-3.6839142,-3.5530548,-3.4280548,-3.6761017,-3.838211,-3.8098907,-3.791336,-3.6282501,-3.6995392,-4.010086,-4.396805,-4.5677032,-4.0921173,-3.1302032,-2.4466095,-1.8147736,-1.2053986,-0.5579376,0.29362488,0.21159363,-0.5149689,-1.532547,-1.947586,-2.1428986,-1.7473907,-1.5364532,-1.2610626,-1.3596954,-1.7073517,-1.845047,-1.7366486,-1.4573517,-0.93489075,-0.360672,0.04069519,0.37174988,0.5045624,0.54948425,-0.38508606,-0.8079376,-0.69758606,-0.58332825,-0.60383606,-0.23860168,-0.015945435,0.10319519,0.37565613,0.86198425,0.8444061,0.84928894,0.72428894,0.6334686,0.75553894,0.842453,0.6959686,0.7457733,0.7506561,0.7740936,0.7565155,1.0397186,0.98698425,0.65104675,0.58854675,0.7828827,0.9108124,0.98210144,1.2028046,1.3824921,1.568039,1.2340546,1.2535858,0.74967957,0.28483582,0.09928894,-0.14778137,-0.4778595,-0.5930939,-0.5999298,-1.041336,-1.3333282,-1.3938751,-1.4173126,-1.3430939,-1.3098907,-1.391922,-1.3870392,-1.282547,-1.0540314,-0.7874298,-0.41633606
24.5,0.50553894,0.17936707,-0.3421173,-1.1048126,-1.7581329,-2.1526642,-2.4251251,-2.5335236,-2.4934845,-2.6868439,-2.805008,-2.9173126,-3.0061798,-3.1253204,-3.454422,-4.3372345,-4.9739532,-5.2053986,-5.166336,-5.181961,-5.0940704,-5.056961,-4.8792267,-4.7766876,-4.6028595,-4.3040314,-3.5139923,-2.5374298,-1.4680939,-1.4798126,-1.4895782,-1.7278595,-1.7766876,-1.0813751,-0.16438293,-0.23469543,-0.83821106,-1.306961,-0.9134064,-0.18293762,0.639328,1.3395233,1.7887421,1.8785858,1.5475311,0.9547577,0.43522644,-0.02961731,-0.44465637,-0.69758606,-1.0315704,-1.4104767,-1.8802032,-2.3528595,-2.7532501,-3.0999298,-3.2229767,-3.1839142,-2.744461,-2.1360626,-1.2464142,-0.298172,0.30436707,0.47135925,0.49284363,0.16667175,-0.17805481,-0.5745392,-0.9417267,-1.1702423,-1.2561798,-1.1487579,-1.1468048,-1.1116486,-1.7708282,-2.6829376,-3.532547,-4.0071564,-4.186844,-3.572586,-3.3977814,-3.4798126,-3.9016876,-4.039383,-4.0139923,-3.8704376,-4.117508,-4.0628204,-4.008133,-3.8391876,-3.6839142,-3.6995392,-3.9241486,-4.3108673,-4.1809845,-3.681961,-2.9446564,-2.5042267,-1.7835236,-1.2454376,-0.65364075,-0.5716095,-0.7698517,-1.463211,-2.4182892,-2.697586,-2.4124298,-1.9817657,-1.4846954,-1.3089142,-1.416336,-1.6184845,-1.7591095,-1.5198517,-1.2337189,-0.6311798,-0.0061798096,0.43717957,0.686203,0.81022644,0.28483582,-0.63508606,-0.83039856,-0.43196106,-0.30989075,-0.25813293,0.23210144,0.186203,0.1158905,0.27409363,0.5192108,0.47135925,0.50553894,0.44499207,0.326828,0.15788269,0.26237488,0.5045624,0.7154999,0.5279999,0.30143738,0.15397644,0.17546082,0.09635925,0.22038269,0.49772644,0.83073425,0.9801483,1.0377655,1.2184296,1.4215546,1.201828,0.686203,0.6569061,0.22135925,-0.19758606,-0.532547,-0.8655548,-1.1526642,-0.8059845,-0.7698517,-0.8733673,-1.2903595,-1.5471954,-1.4915314,-1.4124298,-1.2327423,-1.306961,-1.4622345,-1.3948517,-1.1839142,-0.94563293,-0.6155548
24.25,0.6373749,0.12956238,-0.61750793,-1.3440704,-1.8821564,-2.2591095,-2.4876251,-2.6233673,-2.6595001,-2.713211,-2.838211,-2.9661407,-3.0843048,-3.0901642,-3.242508,-4.058914,-4.6165314,-4.8802032,-4.6389923,-4.3645782,-4.206375,-4.0042267,-3.7923126,-3.6809845,-3.5120392,-3.1077423,-2.3548126,-1.650711,-1.7083282,-1.9300079,-2.4124298,-2.6155548,-2.570633,-1.8059845,-0.6917267,0.24772644,-0.17024231,-0.9046173,-0.8030548,-0.06086731,0.47428894,1.1520233,1.6100311,1.7672577,1.5621796,1.295578,0.7779999,0.3658905,-0.06770325,-0.43391418,-0.8245392,-1.2249298,-1.7024689,-2.1536407,-2.648758,-3.088211,-3.2229767,-3.0764923,-2.5901642,-1.7571564,-0.78645325,0.07975769,0.48503113,0.57585144,0.29167175,-0.08430481,-0.5921173,-1.0188751,-1.2493439,-1.3821564,-1.510086,-1.6917267,-1.8059845,-2.0833282,-2.867508,-3.775711,-4.47493,-4.945633,-4.820633,-3.8938751,-3.5657501,-3.6966095,-4.19368,-4.5139923,-4.610672,-4.5384064,-4.273758,-4.0364532,-3.5364532,-3.3284454,-3.5696564,-3.6653595,-3.8821564,-4.178055,-3.9983673,-3.3958282,-2.6907501,-2.117508,-1.4300079,-1.0911407,-1.1116486,-1.1653595,-1.3499298,-2.1370392,-2.9446564,-3.0139923,-2.7161407,-2.0667267,-1.3440704,-1.2942657,-1.463211,-1.4905548,-1.376297,-1.1165314,-0.59602356,-0.04524231,0.59342957,0.8951874,1.1100311,0.67448425,-0.15657043,-0.81282043,-0.41828918,0.05632019,0.30827332,0.39909363,0.1002655,-0.38508606,-0.4593048,0.012374878,0.28483582,0.04850769,0.26530457,0.30827332,0.2877655,-0.015945435,0.09831238,0.30436707,0.514328,0.10612488,-0.07258606,0.016281128,0.066085815,0.073898315,0.32389832,0.47624207,0.5240936,0.7926483,1.0719452,1.3209686,1.1559296,0.717453,0.11784363,-0.282547,-0.7259064,-1.0032501,-1.2766876,-1.5374298,-1.7845001,-1.2864532,-0.98664856,-1.0061798,-1.2522736,-1.751297,-1.6751251,-1.5911407,-1.400711,-1.4280548,-1.5052032,-1.2063751,-1.1487579,-0.93782043,-0.75520325
24.0,1.0641327,0.3063202,-0.6673126,-1.3557892,-1.8548126,-2.1809845,-2.4339142,-2.5091095,-2.5960236,-2.648758,-2.728836,-2.8245392,-2.8714142,-2.8460236,-2.7659454,-2.9690704,-3.5178986,-3.8059845,-3.5618439,-2.5227814,-2.1311798,-1.9378204,-1.8616486,-1.8255157,-1.8909454,-1.782547,-1.572586,-1.7073517,-2.0208282,-2.5159454,-3.055008,-3.2952423,-2.9261017,-2.1077423,-0.90852356,0.21549988,0.8971405,0.6627655,0.11882019,0.17546082,0.5221405,0.82780457,1.1197968,1.2985077,1.4488983,1.5026093,1.4352264,1.114914,0.6676483,0.1627655,-0.27668762,-0.7376251,-1.2845001,-1.9036407,-2.4905548,-2.8811798,-2.9505157,-2.7483673,-2.1741486,-1.3147736,-0.4153595,0.34147644,0.58854675,0.43815613,0.05632019,-0.5276642,-1.119461,-1.5647736,-1.6956329,-1.9026642,-2.1370392,-2.3665314,-2.6380157,-3.039383,-3.8157501,-4.44075,-5.0042267,-5.3772736,-5.289383,-4.615555,-4.485672,-4.516922,-4.3489532,-4.4427032,-4.6184845,-4.855789,-4.146805,-3.555008,-2.9173126,-2.820633,-3.2405548,-3.5970001,-3.867508,-4.180008,-4.027664,-3.4065704,-2.6604767,-1.7942657,-1.2161407,-1.0227814,-1.0628204,-1.2327423,-1.4993439,-2.516922,-2.9378204,-2.8626251,-2.2864532,-1.6253204,-1.1839142,-1.048172,-1.0960236,-1.1077423,-0.9173126,-0.5198517,-0.06477356,0.6988983,1.1110077,1.2213593,0.9391327,0.29167175,-0.36750793,-0.49250793,0.08268738,0.72624207,0.82780457,0.19010925,-0.62532043,-0.52571106,0.077804565,0.4703827,0.19889832,-0.43391418,-0.85676575,-0.6516876,-0.043289185,0.34733582,0.6608124,0.7565155,0.6188202,0.40299988,0.46061707,0.6051483,0.9410858,0.9694061,0.51823425,0.062179565,0.10221863,0.39616394,0.51335144,0.19499207,-0.26887512,-0.4827423,-0.66145325,-1.0471954,-1.5188751,-1.7737579,-1.6497345,-1.6389923,-1.7678986,-1.5462189,-1.3274689,-1.2561798,-1.2698517,-1.4680939,-1.5745392,-1.6936798,-1.6770782,-1.7473907,-1.9134064,-1.5042267,-1.2942657,-1.0940704,-0.9934845
23.75,0.70573425,-0.20930481,-0.9290314,-1.4124298,-1.7805939,-2.070633,-2.2747345,-2.3323517,-2.3196564,-2.3011017,-2.3723907,-2.4641876,-2.485672,-2.494461,-2.4466095,-2.383133,-2.360672,-2.2317657,-1.8831329,-1.3528595,-1.3889923,-1.3684845,-1.4202423,-1.5178986,-1.6272736,-1.7805939,-1.9309845,-2.2220001,-2.6204376,-3.095047,-3.586258,-4.0130157,-3.6546173,-2.5999298,-1.5589142,-0.59407043,0.42936707,1.3600311,0.75260925,0.733078,0.78874207,0.8287811,0.98991394,1.3707733,1.4576874,1.6686249,1.8014374,1.7184296,1.3863983,0.8483124,0.23698425,-0.3059845,-0.8343048,-1.3997345,-1.9817657,-2.4173126,-2.4427032,-2.1165314,-1.5384064,-0.8059845,-0.06770325,0.45671082,0.43424988,0.089523315,-0.50813293,-1.1790314,-1.7307892,-2.0999298,-2.2141876,-2.4749298,-2.7317657,-3.0120392,-3.3636017,-3.6741486,-4.2259064,-4.777664,-5.311844,-5.762039,-5.9915314,-5.8079376,-5.9036407,-5.715164,-5.0003204,-4.171219,-3.6790314,-3.6311798,-2.735672,-2.4095001,-2.6614532,-3.1321564,-3.3489532,-3.1399689,-3.3460236,-3.8001251,-3.8733673,-3.461258,-2.697586,-1.6204376,-1.1565704,-0.8792267,-0.97102356,-1.3167267,-1.8147736,-2.7053986,-2.9895782,-2.6155548,-1.7727814,-1.0618439,-0.9182892,-1.0657501,-1.0891876,-0.8577423,-0.48860168,0.011398315,0.5904999,1.0348358,1.1344452,1.1686249,0.81803894,0.26530457,-0.048171997,0.30924988,1.1158905,1.2672577,0.8717499,0.08757019,-0.5696564,0.0016326904,0.19694519,-0.059890747,-0.36360168,-0.55207825,-0.548172,-0.2561798,-0.035476685,0.34440613,0.6832733,0.73991394,0.5436249,0.73698425,0.8190155,0.8658905,1.2213593,1.4840546,1.3658905,1.498703,1.271164,1.108078,0.8707733,0.46061707,-0.057937622,-0.45246887,-0.7337189,-1.0784454,-1.416336,-1.650711,-1.7259064,-1.6809845,-1.6272736,-1.6018829,-1.5110626,-1.510086,-1.6848907,-1.7893829,-1.8333282,-1.8557892,-1.8059845,-1.7346954,-1.6897736,-1.6565704,-1.3050079,-1.2854767,-1.2093048
23.5,0.16374207,-0.501297,-0.8948517,-1.2405548,-1.6116486,-1.9339142,-2.0218048,-1.9827423,-2.0403595,-2.1096954,-2.1790314,-2.2395782,-2.2639923,-2.2239532,-2.1223907,-2.0149689,-1.7337189,-1.4427032,-1.2415314,-1.2503204,-1.588211,-1.8362579,-2.023758,-2.2210236,-2.3216095,-2.4368439,-2.5755157,-2.8333282,-3.1438751,-3.5218048,-3.8430939,-4.124344,-3.9124298,-2.7591095,-1.5755157,-0.673172,0.037765503,1.0953827,1.6715546,1.9528046,1.7985077,1.614914,1.8590546,2.0670624,1.4938202,1.4528046,1.7946014,2.1920624,2.1158905,1.5651093,0.8971405,0.28092957,-0.24250793,-0.7561798,-1.2815704,-1.6790314,-1.7024689,-1.4651642,-0.970047,-0.41731262,0.13346863,0.31706238,0.04850769,-0.38215637,-1.0345001,-1.7053986,-2.2493439,-2.650711,-2.7571564,-2.9593048,-3.181961,-3.4085236,-3.7005157,-3.976883,-4.398758,-4.847,-5.202469,-5.5423126,-5.806961,-6.0110626,-6.043289,-6.0403595,-5.6497345,-4.8528595,-3.8636017,-3.4085236,-2.9290314,-2.3938751,-2.541336,-3.0208282,-3.2220001,-3.0520782,-3.3343048,-3.6214142,-3.6165314,-3.2532501,-2.6048126,-1.5530548,-1.1897736,-1.0618439,-1.1067657,-1.3557892,-1.8206329,-2.4798126,-2.7483673,-2.157547,-1.2395782,-0.5198517,-0.40071106,-0.8626251,-0.7307892,-0.4934845,-0.10090637,0.31315613,0.5006561,0.6412811,0.80436707,0.85710144,0.6754608,0.50749207,0.44596863,0.59147644,0.6022186,0.38639832,-0.0061798096,-0.2952423,0.027023315,0.27311707,-0.3108673,-0.641922,-0.37141418,0.38249207,0.7623749,1.1998749,1.0797577,0.72917175,0.13737488,-0.16633606,-0.42121887,-0.7327423,-0.14289856,0.23600769,0.49479675,0.8395233,1.1764374,0.7906952,0.6500702,0.42546082,0.451828,0.4235077,0.3033905,-0.31575012,-0.720047,-1.0130157,-1.3108673,-1.5384064,-1.6428986,-1.8206329,-1.9573517,-1.8411407,-1.7796173,-1.7678986,-1.7112579,-1.8391876,-1.931961,-1.8860626,-1.798172,-1.6321564,-1.4817657,-1.7298126,-1.8489532,-1.7532501,-1.5667267
23.25,-0.235672,-0.76008606,-1.0960236,-1.2053986,-1.4886017,-1.6653595,-1.7220001,-1.6614532,-1.8352814,-1.9593048,-1.9837189,-1.985672,-1.9739532,-2.016922,-1.9729767,-1.8596954,-1.6067657,-1.4514923,-1.4212189,-1.5989532,-1.860672,-2.150711,-2.3948517,-2.5774689,-2.695633,-2.8020782,-2.9602814,-3.2483673,-3.5003204,-3.673172,-3.938797,-4.043289,-3.7405548,-2.2971954,0.002609253,1.2887421,1.0817108,0.66667175,0.7848358,0.96354675,0.9752655,1.2809296,1.7662811,1.4576874,1.1168671,1.1481171,1.6569061,2.1539764,2.6276093,2.2008514,1.4322968,0.6412811,0.116867065,-0.266922,-0.6966095,-1.0266876,-1.0315704,-0.81770325,-0.4934845,-0.04914856,0.06803894,0.069992065,-0.34016418,-0.9290314,-1.5813751,-2.1907501,-2.6839142,-2.9876251,-3.1057892,-3.2845001,-3.4671173,-3.6712189,-3.8118439,-4.021805,-4.31575,-4.615555,-5.0042267,-5.360672,-5.595047,-5.822586,-5.8860626,-6.0052032,-5.931961,-5.215164,-4.275711,-4.0003204,-3.6448517,-3.4973907,-3.5188751,-3.6897736,-3.9221954,-3.6595001,-3.3528595,-3.0647736,-2.501297,-2.1868439,-2.2493439,-1.5042267,-1.3928986,-1.2630157,-1.3186798,-1.4973907,-1.838211,-2.0452423,-1.9612579,-1.4055939,-0.8352814,-0.33821106,-0.4124298,-0.71614075,-0.5891876,-0.44172668,0.06510925,0.65592957,0.82585144,0.62467957,0.6764374,0.68522644,0.54948425,0.4000702,0.30436707,0.097335815,-0.30207825,-0.6634064,-0.86457825,-0.62532043,-0.33235168,-0.59407043,-0.470047,-0.23274231,0.35124207,0.91178894,1.2067108,1.5738983,1.3844452,1.3043671,0.49577332,-0.62727356,-1.0999298,-1.3167267,-1.3177032,-0.3216095,0.089523315,0.02507019,-1.0110626,-0.70344543,-0.6516876,-0.8313751,-0.923172,-1.032547,-1.1839142,-0.8430939,-0.81770325,-1.2278595,-1.5384064,-1.7727814,-2.1546173,-2.3284454,-2.3264923,-2.2151642,-2.1087189,-2.0432892,-2.0696564,-2.1966095,-2.0979767,-2.0286407,-1.8050079,-1.6028595,-1.5061798,-1.4680939,-1.525711,-1.8577423,-1.6936798
23.0,-0.68977356,-1.056961,-1.1848907,-1.3001251,-1.3460236,-1.4807892,-1.4251251,-1.4602814,-1.6966095,-1.8186798,-1.8352814,-1.7141876,-1.6653595,-1.7073517,-1.7884064,-1.7405548,-1.6936798,-1.5745392,-1.6692657,-1.8889923,-2.1858673,-2.4876251,-2.7171173,-2.8147736,-2.9026642,-3.001297,-3.1614532,-3.4221954,-3.570633,-3.7337189,-3.8216095,-3.8792267,-3.588211,-2.0364532,0.342453,2.0875702,1.8688202,0.18132019,-0.5559845,-0.51301575,-0.20539856,0.20671082,0.34440613,-0.16438293,0.14518738,0.9488983,1.4694061,2.2692108,2.8278046,2.6383514,1.7350311,0.9098358,0.34733582,-0.031570435,-0.25032043,-0.57258606,-0.5970001,-0.46321106,-0.188797,-0.15266418,-0.126297,-0.29621887,-0.7718048,-1.3509064,-1.9436798,-2.5345001,-2.9534454,-3.2073517,-3.3421173,-3.4505157,-3.6282501,-3.7796173,-3.9241486,-4.0071564,-4.1721954,-4.4290314,-4.704422,-5.0354767,-5.374344,-5.6595,-5.8059845,-5.963211,-5.9173126,-5.8167267,-5.2952423,-4.9065704,-4.027664,-4.1048126,-4.5921173,-4.8489532,-4.1790314,-3.0716095,-2.5491486,-2.3372345,-1.8118439,-1.7190704,-1.7102814,-1.5345001,-1.760086,-1.5384064,-1.3567657,-1.4954376,-1.6751251,-1.6634064,-1.3030548,-0.845047,-0.30500793,-0.034500122,-0.003250122,0.12760925,0.20280457,0.420578,0.5123749,0.9264374,0.8004608,0.42155457,0.20671082,-0.09309387,-0.22590637,-0.35969543,-0.47590637,-0.51594543,-0.45832825,-0.5579376,-0.22883606,0.031906128,0.21159363,0.16178894,0.5485077,0.35221863,0.7203827,0.14518738,0.19694519,0.6959686,1.3444061,1.1715546,0.779953,-0.157547,-0.6077423,-1.3333282,-1.2376251,-1.2718048,-0.9563751,-1.1995392,-1.438797,-1.3831329,-1.0735626,-1.235672,-1.2464142,-1.3040314,-1.4143829,-1.3274689,-1.329422,-1.2649689,-1.5237579,-1.8655548,-2.4553986,-2.6546173,-2.619461,-2.476883,-2.3186798,-2.2571564,-2.180008,-2.1868439,-2.101883,-2.0784454,-1.8958282,-1.8050079,-1.6907501,-1.5442657,-1.6624298,-2.0891876,-1.9661407
