lat,lon,date,temp_0m,temp_10m,temp_30m,temp_50m,temp_75m,temp_100m,temp_200m,temp_500m
10.936285333333334,83.46992916666667,2024-01-01T04:17:58Z,28.19499969482422,28.19499969482422,28.282873862651588,28.28641692714557,24.51503861530075,22.248576145366247,15.103174791525817,10.076058273780637
8.616666666666667,89.65,2024-01-01T13:53:34Z,28.604999542236328,28.608094161768058,28.539348836915565,25.982250213623047,21.61656379532148,18.59664781088672,13.103068804912915,9.96399974822998
7.8,88.28333333333333,2024-01-01T14:05:16Z,28.542999267578125,28.54630989882667,28.55428932784855,27.58148304571851,21.507702308540914,18.05106153198205,12.88638152707815,9.892557377540882
11.21071,60.59237,2024-01-01T14:05:26Z,27.847000122070312,27.85746801013592,27.848059579315304,27.566039374240006,25.32519942169165,23.258619635467767,15.39900016784668,11.651220063475193
7.03633,65.41964,2024-01-01T23:02:49Z,29.517000198364258,29.538193733312525,29.54794032913196,29.700123186440464,27.853823796220322,24.41152839361919,14.72949049501235,10.869000434875488
15.803173333333334,54.41959,2024-01-02T00:54:30Z,25.89699935913086,25.90440063247661,26.04090898813286,26.040916593604585,24.019200100708986,19.91418207089853,14.869166576597372,12.155045940779798
13.558155,57.254125,2024-01-02T02:42:30Z,26.559999465942383,26.55900001525879,26.562999725341797,26.569000244140625,26.514333089192707,25.91792295737948,17.84000015258789,12.205683954930922
24.523363333333332,60.093865,2024-01-02T02:44:30Z,25.805999755859375,25.810667356120323,25.81999969482422,24.266999619223686,22.058000564575195,20.827874652147283,17.65766612865211,12.446579109783768
12.46795,56.57555166666667,2024-01-02T02:46:30Z,26.64900016784668,26.64900016784668,26.651785851012132,26.65538450297483,26.660999298095703,25.58760051574791,18.2559994888359,12.301476172017203
12.335806666666667,48.817548333333335,2024-01-02T02:53:30Z,26.479000091552734,26.47981782330004,26.514333729213828,23.90527322816452,21.568615451338193,19.49955597300887,16.076400842284784,15.297352742125879
22.534103333333334,60.83841,2024-01-02T02:53:30Z,26.13599967956543,26.141600037002718,26.145000457763672,26.14949989477706,26.138999938964844,23.463614532199994,20.672554884545136,13.44279979247949
12.232451666666666,48.67724666666667,2024-01-02T02:59:30Z,26.52400016784668,26.530000051657428,26.53499984741211,26.67620010070823,21.430999755859375,19.19655523041145,15.752699677279452,14.7162104049227
9.97695,63.46142,2024-01-02T07:55:27Z,28.954999923706055,28.940968112816673,28.91699981689453,27.898000717163086,26.56812276931568,22.740941521315253,15.037459822691744,11.004862831391694
17.354173333333332,68.35159833333333,2024-01-02T13:22:00Z,27.780000686645508,27.7814998626709,27.79084037719731,27.79348477453792,25.50974608783958,22.702000617980957,16.169073641916093,12.231973370126205
12.836313333333333,67.622105,2024-01-02T13:27:00Z,29.165000915527344,29.171800233078102,29.162332758560673,29.15008219848026,27.53884168807539,23.25409046765088,15.802667214876024,11.69692085935266
17.35589,68.35185666666666,2024-01-02T14:41:00Z,27.726999282836914,27.756999969482422,27.774999618530273,27.789623995129265,24.881475452759297,22.839000701904297,16.71275953531925,12.324079766513535
12.837103333333333,67.61864833333334,2024-01-02T14:46:00Z,29.132999420166016,29.144400403594773,29.156099187280493,29.15029346164673,27.496999740600586,23.511445048182026,15.509530311238336,11.759126452952612
12.66574,62.88748,2024-01-03T01:35:48Z,27.910999298095703,27.91699981689453,27.917999267578125,27.907920911864494,25.42614288663733,23.517000198364258,16.614999771118164,12.10975960372889
14.7,68.81666666666666,2024-01-03T13:50:55Z,28.459999084472656,28.45780010147064,28.419489466591273,27.531280589625275,23.974664284532373,21.460446701464132,16.62194833993857,11.825241264494236
15.824206666666667,61.2556,2024-01-03T17:32:00Z,26.881000518798828,26.88800048828125,26.889555189579966,26.82363700677524,26.785999298095703,25.26550057729166,18.468000411987305,13.03840602466771
12.8365,48.5,2024-01-03T21:59:40Z,14.428000450134277,14.428000450134277,14.428000450134277,14.428000450134277,14.428000450134277,14.428000450134277,14.428000450134277,14.428000450134277
15.272,89.042,2024-01-04T01:32:21Z,27.910999298095703,27.94309026670841,28.161198140882785,28.252052111977,25.18899096185591,21.974291058349824,13.500870421645232,9.868578575367922
14.056,90.034,2024-01-04T01:32:39Z,27.940000534057617,28.05186093086231,28.74505748659246,28.583999973794675,25.438112113249186,22.06347719746099,13.383880987535003,9.768830617260274
12.646,84.757,2024-01-04T01:38:20Z,28.326000213623047,28.36587230740282,28.358950519561766,27.5552725778794,23.609247120376658,21.27973276145609,14.342356459906945,9.737500190734863
15.31557,54.35064166666667,2024-01-04T02:45:30Z,25.716999053955078,25.73339958152792,25.743666966756184,25.719999313354492,23.802999399358864,20.152000427246094,15.46049971898405,12.064818053127146
13.430768333333333,57.112563333333334,2024-01-04T04:47:30Z,26.465999603271484,26.469333012634,26.472083409892043,26.476999282836914,26.474999898275225,26.12430688350135,17.764199612429366,12.281333287556967
22.776301666666665,61.53355666666667,2024-01-04T04:47:30Z,26.121999740600586,26.121799849701347,26.125,26.13008260620821,26.092333535088326,23.365999221801758,20.381399453734048,13.853905179982766
12.378123333333333,56.42285666666667,2024-01-04T04:51:30Z,26.66900062561035,26.670199967193184,26.67138466490827,26.675199509430968,26.68199920654297,25.59459902801609,17.268454337001323,12.286500215530396
24.292695,59.72351333333334,2024-01-04T04:54:30Z,25.611000061035156,25.608666102091473,25.610090601266396,25.572364108503717,22.041800250241067,20.514417153464166,18.00033263312273,12.676667099707869
12.47272,48.59515,2024-01-04T04:55:30Z,26.584999084472656,26.585273222805032,26.749000549316406,26.834181352410262,22.346249524752754,19.23990967617022,15.817999839782715,14.575588089702537
12.385838333333334,48.77814333333333,2024-01-04T04:59:30Z,26.510000228881836,26.517000198364258,26.520400366719212,25.680909016191727,21.93018229145518,19.802443899457746,15.798999897000613,15.232699860382127
8.377,85.859,2024-01-04T05:33:21Z,28.850000381469727,28.82855595459169,28.81274531982668,27.760967729709453,23.38565887546063,19.733264580300983,13.69000004796255,9.71528592825484
